Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;;Querkräfte [kN/m];;Normalkräfte [kN/m];;;
431;1;2.200;-2.200;-3.948;3.48;-0.73;58.89;2.22;3.63;148.42;84.58;-34.93;14.62;93.87
;;;;;-1.08;-2.01;-83.09;0.29;0.62;82.11;-118.52;-155.19;-51.12;31.55
432;1;2.200;-2.600;-3.993;2.53;-1.00;70.75;2.16;4.74;178.25;72.78;-19.05;48.80;138.46
;;;;;-1.17;-2.15;-67.49;0.35;0.77;-177.83;-172.93;-449.73;-36.27;25.01
433;1;2.200;-3.000;-4.037;1.28;-0.60;89.11;1.51;5.28;173.87;140.20;16.79;58.81;372.06
;;;;;-0.88;-2.69;-87.61;0.21;0.75;-173.20;-174.24;-916.56;-21.68;34.55
434;1;2.200;-3.400;-4.082;2.83;-0.35;87.99;2.77;5.03;173.90;240.39;17.10;70.38;653.04
;;;;;-1.75;-2.94;-86.39;0.22;0.88;-169.11;-128.49;-1433.22;-21.16;63.38
435;1;2.200;-3.800;-4.128;4.30;-0.61;86.30;4.44;7.63;168.84;339.08;7.45;83.46;879.04
;;;;;-0.95;-4.65;-84.60;0.30;0.62;-162.41;-48.57;-1806.07;-12.35;128.28
436;1;2.600;-0.200;-3.818;2.47;-0.26;50.57;1.63;5.42;178.81;124.38;77.72;58.03;84.47
;;;;;-0.14;-1.31;-89.96;0.22;1.24;-177.32;-33.05;-140.91;-54.99;13.61
437;1;2.600;-0.600;-3.852;3.33;0.30;89.67;1.70;4.47;163.46;119.15;76.11;53.05;71.16
;;;;;-0.37;-1.50;-89.23;0.21;0.86;-176.49;-10.32;-137.23;-85.87;12.85
438;1;2.600;-1.000;-3.888;3.69;1.06;86.21;1.57;3.97;110.58;131.40;45.82;87.95;69.91
;;;;;-0.72;-1.90;-89.52;0.25;1.20;-118.24;-25.90;-109.34;-89.34;21.64
439;1;2.600;-1.400;-3.922;4.04;1.37;84.99;1.73;3.76;129.42;132.76;-20.10;37.40;73.54
;;;;;-0.90;-2.10;-43.27;0.17;0.53;-84.05;-26.83;-78.96;-88.74;17.20
440;1;2.600;-1.800;-3.957;4.25;1.11;89.83;1.92;3.87;87.91;91.66;-31.69;13.68;84.14
;;;;;-0.96;-2.11;-43.48;0.24;0.43;-151.13;22.13;-79.04;-85.90;27.00
441;1;2.600;-2.200;-3.993;3.95;0.36;87.00;2.06;4.30;160.98;83.57;-33.40;86.59;89.27
;;;;;-1.03;-2.00;-80.03;0.29;0.50;-179.95;-71.98;-161.79;-68.21;30.98
442;1;2.600;-2.600;-4.028;2.71;-0.80;76.24;1.91;6.36;88.53;77.46;-18.73;48.42;122.88
;;;;;-1.05;-1.88;-57.30;0.26;0.60;-153.17;-166.35;-411.31;-60.82;26.10
443;1;2.600;-3.000;-4.063;1.84;-0.71;89.25;2.17;7.29;154.41;135.64;19.03;50.71;356.85
;;;;;-0.90;-2.97;-83.98;0.21;1.11;-161.57;-176.78;-890.47;-28.80;30.86
444;1;2.600;-3.400;-4.097;2.71;-0.42;89.39;3.73;5.08;154.99;228.94;22.14;62.68;652.46
;;;;;-1.63;-5.07;-88.82;0.41;1.09;-175.03;-132.82;-1437.75;-29.14;90.39
445;1;2.600;-3.800;-4.133;4.49;-0.27;71.36;5.21;9.64;-79.59;320.38;8.37;80.17;890.77
;;;;;-1.27;-6.06;-80.78;0.30;0.61;-145.04;-50.24;-1831.78;-17.64;97.54
446;1;3.000;-0.200;-3.912;1.93;-0.51;84.67;1.41;7.28;175.16;121.92;76.26;55.64;96.53
;;;;;-0.71;-1.84;-71.25;0.21;0.97;-179.23;15.59;-117.32;-30.20;17.61
447;1;3.000;-0.600;-3.938;3.49;0.40;78.04;1.78;4.68;141.24;120.15;72.32;53.13;80.10
;;;;;-0.66;-2.08;-64.58;0.14;0.60;-168.53;17.46;-111.63;-38.23;15.26
448;1;3.000;-1.000;-3.963;4.18;0.98;76.28;1.79;3.85;152.43;150.27;36.67;62.16;78.43
;;;;;-0.84;-2.23;-55.73;0.35;0.92;-177.94;36.66;-78.95;-37.37;31.76
449;1;3.000;-1.400;-3.987;4.62;1.56;78.44;1.91;2.29;24.27;175.93;-16.15;67.80;102.93
;;;;;-0.88;-2.18;-56.74;0.35;0.66;-135.69;26.90;-53.70;-35.43;33.25
450;1;3.000;-1.800;-4.012;4.82;1.47;85.40;1.97;2.25;30.36;167.18;-25.61;77.46;134.50
;;;;;-0.88;-2.00;-54.32;0.30;0.46;-115.34;31.67;-104.52;-34.98;30.83
451;1;3.000;-2.200;-4.037;4.46;0.52;46.92;1.97;5.23;38.59;114.20;27.39;83.79;129.55
;;;;;-0.91;-1.78;-82.51;0.33;0.60;-142.55;42.10;-186.86;-38.66;32.68
452;1;3.000;-2.600;-4.063;3.19;-0.35;77.85;2.55;8.17;51.02;80.12;-29.75;85.70;126.17
;;;;;-0.90;-2.40;-60.36;0.29;0.89;-148.24;-102.76;-350.02;-40.17;33.19
453;1;3.000;-3.000;-4.088;2.54;-0.64;85.45;3.82;8.95;97.52;121.10;20.14;40.55;330.90
;;;;;-0.80;-5.49;-85.26;0.22;1.50;-139.04;-147.49;-804.21;-38.90;24.37
454;1;3.000;-3.400;-4.113;3.16;-0.38;89.21;5.43;5.86;150.68;211.55;24.71;55.08;645.95
;;;;;-1.10;-7.95;-83.39;0.58;1.32;-138.14;-110.83;-1402.74;-41.10;91.79
455;1;3.000;-3.800;-4.137;5.26;-0.55;67.55;6.62;10.15;-68.51;299.41;5.19;77.34;908.94
;;;;;0.68;-8.03;-88.36;0.62;1.05;-119.89;80.35;-1854.39;-25.86;125.84
456;1;3.400;-0.200;-4.008;1.89;-0.60;75.35;1.37;8.54;178.81;168.70;29.92;51.01;115.83
;;;;;-1.01;-2.33;-84.44;0.11;0.96;-177.91;49.80;-96.81;-39.97;30.02
457;1;3.400;-0.600;-4.023;3.41;0.23;65.72;1.79;4.15;179.52;179.30;34.68;48.70;105.31
;;;;;-0.80;-2.12;-89.96;0.11;0.35;-179.37;46.15;-73.99;-28.55;26.15
458;1;3.400;-1.000;-4.037;4.41;0.49;62.32;2.05;3.87;174.22;178.68;14.49;50.41;97.36
;;;;;-0.75;-1.94;-86.46;0.26;0.55;-178.89;80.39;-40.05;-26.58;48.77
459;1;3.400;-1.400;-4.052;4.97;1.02;64.07;2.14;3.27;137.24;192.49;10.96;52.12;122.45
;;;;;-0.68;-1.72;-73.77;0.38;0.74;-177.37;63.19;-68.38;-22.96;43.46
460;1;3.400;-1.800;-4.068;5.21;1.05;71.26;2.18;3.44;81.11;229.56;24.96;54.19;175.24
;;;;;-0.60;-1.49;-66.96;0.35;0.58;-150.98;49.67;-122.39;-28.73;26.10
461;1;3.400;-2.200;-4.082;4.87;0.78;87.62;2.13;7.30;48.91;236.18;38.42;54.66;197.38
;;;;;-0.62;-1.53;-88.34;0.35;0.60;-129.10;34.45;-176.91;-39.36;29.49
462;1;3.400;-2.600;-4.097;3.59;0.42;69.05;3.40;11.78;50.19;238.00;31.30;74.96;181.61
;;;;;-0.58;-3.96;-71.97;0.28;0.81;-128.17;26.21;-272.09;-83.09;25.77
463;1;3.400;-3.000;-4.113;2.82;-0.51;83.82;5.58;12.10;72.14;155.42;-19.23;51.09;334.68
;;;;;-0.51;-8.59;-54.37;0.27;0.96;-139.59;23.42;-653.35;-63.80;21.33
464;1;3.400;-3.400;-4.128;3.84;-0.35;89.18;7.75;8.48;144.56;188.87;13.56;44.80;665.91
;;;;;1.13;-11.76;-84.60;0.79;1.46;-138.69;44.18;-1313.80;-50.72;83.02
465;1;3.400;-3.800;-4.142;6.78;-0.57;74.57;8.85;15.43;-65.75;278.58;-6.87;70.82;933.69
;;;;;1.17;-10.93;-79.01;0.87;1.75;-122.06;179.56;-1852.92;-40.31;126.23
466;1;3.800;-0.200;-4.102;1.54;-0.32;85.62;1.04;7.21;177.10;370.17;11.94;38.18;179.11
;;;;;-0.70;-1.57;-88.90;0.09;1.17;-177.83;71.19;-124.35;-78.99;46.45
467;1;3.800;-0.600;-4.108;3.37;-0.35;89.10;1.82;4.10;177.87;363.44;15.89;89.35;184.86
;;;;;-0.57;-1.08;-89.89;0.15;0.60;-179.05;77.15;-134.96;-88.10;41.16
468;1;3.800;-1.000;-4.113;4.57;-0.25;87.41;2.29;4.76;179.28;384.05;19.86;79.00;193.23
;;;;;-0.43;-0.87;-84.75;0.22;0.66;-100.57;71.06;-117.51;-13.51;36.74
469;1;3.800;-1.400;-4.117;5.22;-0.29;89.25;2.51;6.28;175.55;394.77;22.51;52.79;196.54
;;;;;-0.20;-1.06;-82.33;0.29;0.59;-104.90;60.36;-92.45;-19.39;49.91
470;1;3.800;-1.800;-4.122;5.49;0.31;54.90;2.59;7.38;117.89;414.12;25.38;34.57;204.68
;;;;;-0.16;-1.31;-79.54;0.45;0.60;-107.82;56.51;-90.29;-40.83;27.55
471;1;3.800;-2.200;-4.128;5.16;0.33;66.30;2.41;10.18;122.39;460.51;23.49;64.28;227.79
;;;;;0.18;-1.78;-76.77;0.47;0.85;-164.44;40.92;-89.67;-88.78;20.74
472;1;3.800;-2.600;-4.133;3.97;-0.31;87.22;3.68;16.11;159.69;538.61;28.95;79.73;297.29
;;;;;0.49;-5.94;-72.73;0.47;1.16;-157.11;34.11;-145.40;-72.17;24.15
473;1;3.800;-3.000;-4.137;2.03;-0.37;72.53;7.13;19.26;-67.84;625.51;-22.28;56.76;492.29
;;;;;1.32;-12.61;-75.09;0.75;2.33;-168.31;62.87;-482.97;-84.16;42.58
474;1;3.800;-3.400;-4.142;3.69;-0.24;77.96;10.55;18.19;151.98;619.67;-34.11;27.26;816.74
;;;;;2.07;-17.41;-65.77;1.16;2.06;-156.83;156.11;-1204.13;-77.92;98.09
475;1;3.800;-3.800;-4.148;8.76;-0.81;79.08;12.22;26.93;179.87;376.78;-44.85;58.92;989.21
;;;;;1.87;-15.69;-77.74;1.34;3.36;-175.41;203.99;-1774.20;-72.15;128.27
476;1;0.050;0.050;-3.175;177.01;-16.86;89.77;89.76;362.00;125.64;296.63;-188.98;40.94;361.62
;;;;;-39.59;-62.72;-90.00;11.89;49.30;-143.88;-304.13;-612.81;-16.95;90.26
477;1;0.050;0.150;-3.200;53.02;-9.25;83.23;33.49;239.20;167.43;151.56;-159.79;89.20;211.18
;;;;;-22.00;-25.75;-86.99;2.65;62.29;-119.87;-209.93;-459.15;-89.53;77.41
478;1;0.050;0.250;-3.224;26.93;3.93;86.00;16.76;161.38;174.66;141.71;-144.44;84.21;191.46
;;;;;-13.80;-16.61;-89.36;2.59;40.82;-178.22;-169.15;-359.20;-89.03;58.25
479;1;0.050;0.350;-3.249;18.05;-2.68;83.03;11.10;121.44;174.46;131.66;-137.23;80.66;163.77
;;;;;-8.66;-12.64;-79.18;1.96;29.12;-179.35;-129.36;-325.14;-88.93;63.53
480;1;0.050;0.450;-3.274;13.55;-2.79;64.02;8.43;95.30;165.81;119.28;-132.23;76.85;156.31
;;;;;-4.61;-10.24;-88.22;2.32;30.43;-174.03;-97.50;-311.17;-86.83;45.33
481;1;0.050;0.550;-3.298;10.86;-3.90;85.48;7.03;75.02;174.98;110.60;-128.15;69.73;148.77
;;;;;-2.12;-8.19;-88.43;2.30;25.04;-155.42;-74.57;-294.38;-73.78;41.75
482;1;0.050;0.650;-3.323;8.86;-2.84;89.71;6.11;58.49;171.29;101.07;-120.04;69.05;156.62
;;;;;-1.03;-6.46;-87.94;1.82;21.05;-176.08;-60.23;-279.48;-53.70;41.43
483;1;0.050;0.750;-3.348;7.44;-2.06;89.20;5.45;44.63;179.02;87.09;-111.01;67.98;143.12
;;;;;0.50;-5.88;-89.75;1.28;15.11;-166.46;-52.25;-265.20;-55.08;40.37
484;1;0.050;0.850;-3.372;6.40;-1.49;88.65;4.97;33.93;175.74;91.74;-102.32;66.42;129.25
;;;;;0.70;-5.62;-79.63;1.09;11.57;-174.89;-45.77;-250.83;-79.05;38.77
485;1;0.050;0.950;-3.397;5.57;-1.06;83.09;4.57;26.47;179.25;98.27;-93.93;77.36;115.71
;;;;;0.77;-5.19;-79.30;0.91;8.65;-170.89;-40.03;-236.02;-86.96;36.81
486;1;0.050;1.050;-3.422;4.89;-0.75;80.72;4.13;20.16;177.80;101.39;-85.83;89.25;103.03
;;;;;0.77;-4.65;-79.89;0.76;6.24;-176.85;-34.76;-220.59;-88.58;40.44
487;1;0.050;1.150;-3.446;4.36;-0.53;78.64;3.72;15.88;179.24;100.96;-78.06;87.81;92.56
;;;;;0.75;-4.10;-81.57;0.64;4.33;-175.42;-30.29;-204.38;21.21;37.07
488;1;0.050;1.250;-3.471;4.06;-0.38;89.15;3.34;12.70;179.95;97.06;-70.68;82.69;83.46
;;;;;0.72;-3.61;-80.29;0.55;3.16;-168.52;-25.75;-187.30;25.39;30.15
489;1;0.050;1.350;-3.496;3.48;-0.26;75.23;2.83;12.05;177.73;89.85;-63.84;81.41;75.19
;;;;;0.63;-2.97;-78.22;0.45;2.40;-172.97;-19.88;-170.25;26.27;28.01
490;1;0.050;1.450;-3.520;3.00;-0.15;73.79;2.44;10.21;173.81;84.71;-57.85;78.13;70.68
;;;;;0.56;-2.41;-87.76;0.38;1.88;-179.77;-18.31;-154.77;24.73;26.08
491;1;0.050;1.550;-3.545;2.84;0.11;72.40;2.32;8.15;179.98;79.59;-52.86;74.57;74.74
;;;;;0.53;-2.13;-79.30;0.34;1.22;-179.35;-17.31;-141.28;22.55;24.35
492;1;0.050;1.650;-3.570;2.57;0.14;71.16;2.09;7.00;178.22;72.55;-48.71;70.60;79.23
;;;;;0.49;-1.82;-64.42;0.31;1.11;-177.92;-14.49;-127.52;20.24;22.75
493;1;0.050;1.750;-3.595;2.45;0.17;69.84;1.98;7.34;175.43;63.96;-45.18;66.13;83.79
;;;;;0.48;-1.61;-60.28;0.30;1.09;-179.20;-10.65;-121.34;17.70;21.34
494;1;0.050;1.850;-3.619;2.48;0.20;68.59;1.92;8.22;170.15;54.41;-42.24;61.13;89.24
;;;;;0.47;-1.46;-67.11;0.29;1.14;-179.63;-10.45;-133.02;-17.19;20.08
495;1;0.050;1.950;-3.644;2.52;0.23;67.44;1.88;9.42;174.30;44.81;-39.90;60.84;96.22
;;;;;0.46;-1.86;-73.81;0.28;1.05;-178.28;-10.83;-154.80;-19.69;19.03
496;1;0.150;0.050;-3.200;52.57;-7.83;83.61;31.30;174.31;165.99;76.13;-109.23;35.68;170.26
;;;;;-22.23;-34.07;-55.92;2.50;74.35;-162.73;-199.74;-449.68;-33.73;45.44
497;1;0.150;0.150;-3.224;44.30;9.51;89.33;27.52;103.38;133.32;126.44;-86.81;86.17;201.16
;;;;;-17.42;-22.72;-89.90;2.63;25.61;-177.01;-188.53;-396.66;-56.62;36.69
498;1;0.150;0.250;-3.248;28.42;-4.72;88.60;19.56;62.64;176.10;135.57;-92.21;84.03;216.99
;;;;;-11.43;-16.63;-87.74;3.16;17.81;-147.82;-151.34;-351.67;-85.97;38.49
499;1;0.150;0.350;-3.272;19.93;-5.18;88.17;13.28;41.01;177.35;124.86;-91.43;74.99;200.53
;;;;;-7.32;-11.40;-85.52;2.80;11.13;-172.97;-117.10;-318.28;16.55;40.03
500;1;0.150;0.450;-3.296;15.73;-4.73;86.69;10.34;28.80;163.70;119.74;-89.25;71.40;186.28
;;;;;-4.45;-8.44;-89.82;2.24;9.69;-177.37;-91.25;-297.69;15.81;37.20
501;1;0.150;0.550;-3.320;12.96;-3.67;87.96;8.62;21.80;152.85;122.11;-87.42;71.54;172.94
;;;;;-2.50;-8.18;-89.34;1.82;6.23;-155.83;-72.13;-282.97;15.65;37.97
502;1;0.150;0.650;-3.344;10.95;-2.58;88.53;7.40;18.92;155.47;116.99;-82.81;71.64;159.21
;;;;;-1.29;-7.78;-89.15;1.50;4.46;-170.85;-58.04;-270.32;15.49;30.67
503;1;0.150;0.750;-3.368;9.37;-1.80;89.13;6.42;17.47;179.23;106.62;-78.23;71.66;145.31
;;;;;-0.56;-7.25;-84.01;1.24;5.85;-170.24;-48.67;-258.37;-41.65;28.22
504;1;0.150;0.850;-3.392;8.06;-1.26;87.02;5.56;15.92;178.11;92.78;-73.74;86.93;131.72
;;;;;0.62;-6.61;-84.76;1.03;4.20;-176.29;-41.92;-246.47;-86.91;24.89
505;1;0.150;0.950;-3.416;6.92;-0.87;84.83;4.80;14.35;169.01;80.20;-68.97;86.88;118.91
;;;;;0.67;-5.87;-85.54;0.85;3.21;-179.85;-36.00;-234.34;17.34;30.31
506;1;0.150;1.050;-3.440;5.98;-0.61;82.60;4.21;14.04;174.13;80.67;-63.83;83.98;107.24
;;;;;0.64;-5.10;-85.01;0.71;3.20;-176.36;-31.13;-221.98;19.73;36.26
507;1;0.150;1.150;-3.464;5.21;-0.43;80.36;3.67;12.90;179.51;78.16;-59.30;81.80;96.96
;;;;;0.62;-4.42;-85.72;0.60;2.53;-178.55;-26.74;-209.71;20.64;25.23
508;1;0.150;1.250;-3.488;4.68;-0.32;78.29;3.28;11.60;175.39;72.75;-55.28;79.73;87.75
;;;;;0.69;-3.91;-85.86;0.53;2.49;-178.60;-21.84;-197.34;18.63;24.69
509;1;0.150;1.350;-3.512;4.05;-0.24;76.36;2.86;10.09;179.46;78.13;-51.52;77.63;79.94
;;;;;0.56;-3.31;-83.74;0.45;1.98;-176.71;-25.16;-185.03;-24.05;23.83
510;1;0.150;1.450;-3.536;3.55;-0.21;88.31;2.60;9.20;178.70;81.57;-47.82;75.55;81.60
;;;;;0.56;-2.79;-80.60;0.38;1.22;-179.98;-26.91;-172.52;-22.21;22.80
511;1;0.150;1.550;-3.560;3.03;0.12;72.85;2.29;7.82;177.95;81.96;-44.21;73.22;87.85
;;;;;0.54;-2.27;-88.17;0.33;1.46;-179.78;-27.11;-160.79;-22.43;21.52
512;1;0.150;1.650;-3.585;2.58;0.15;71.63;2.01;5.41;179.92;80.53;-43.18;70.58;93.65
;;;;;0.47;-1.84;-73.82;0.31;1.05;-179.13;-26.44;-151.17;-23.22;24.28
513;1;0.150;1.750;-3.609;2.39;0.17;70.43;1.93;4.07;176.58;78.21;-39.14;67.71;99.99
;;;;;0.44;-1.62;-52.38;0.30;1.01;-178.93;-25.04;-144.61;-24.06;23.24
514;1;0.150;1.850;-3.633;2.35;0.20;69.50;1.87;5.13;179.67;74.67;-36.34;64.49;106.80
;;;;;0.43;-1.59;-52.68;0.29;1.16;-179.41;-22.67;-150.58;-25.01;22.27
515;1;0.150;1.950;-3.657;2.47;0.23;68.75;1.86;6.38;178.48;70.41;-34.55;60.85;113.71
;;;;;0.41;-1.87;-57.62;0.28;1.30;-179.76;-21.56;-167.27;-26.05;20.84
516;1;0.250;0.050;-3.224;24.49;-5.05;89.91;14.99;117.00;170.70;89.84;-89.16;61.99;159.72
;;;;;-13.25;-22.02;-89.29;4.63;17.09;-179.03;-150.81;-364.93;-75.71;39.75
517;1;0.250;0.150;-3.248;28.01;-5.41;89.96;18.41;62.24;175.18;115.99;-64.01;89.16;200.12
;;;;;-11.25;-20.60;-89.85;2.91;14.69;-169.53;-159.40;-359.24;-83.32;23.61
518;1;0.250;0.250;-3.271;22.58;-4.95;89.95;15.37;46.97;176.09;125.59;-58.87;77.94;205.90
;;;;;-7.97;-14.17;-89.74;3.40;7.93;-179.38;-130.95;-336.18;-20.37;27.22
519;1;0.250;0.350;-3.295;17.84;-4.20;86.56;11.68;33.41;170.05;115.65;-55.84;74.31;197.41
;;;;;-5.53;-9.26;-87.75;2.59;5.97;-175.51;-105.21;-315.91;-87.42;24.03
520;1;0.250;0.450;-3.318;14.47;-3.35;88.99;9.10;25.49;178.50;115.24;-57.27;73.62;184.57
;;;;;-3.72;-8.08;-89.12;2.07;5.85;-176.37;-82.60;-299.11;-8.45;32.64
521;1;0.250;0.550;-3.341;12.10;-2.58;89.07;7.38;20.91;172.26;121.68;-57.54;73.79;170.70
;;;;;-2.32;-7.51;-89.10;1.64;5.59;-173.67;-64.95;-285.37;15.97;30.71
522;1;0.250;0.650;-3.365;10.31;-1.99;89.13;6.17;17.59;174.01;120.50;-55.88;74.22;156.71
;;;;;-1.33;-6.96;-89.20;1.30;4.61;-170.10;-51.74;-273.55;16.49;22.07
523;1;0.250;0.750;-3.388;8.90;-1.35;89.20;5.27;14.79;177.10;113.84;-53.82;74.93;143.09
;;;;;-0.74;-6.41;-89.64;1.05;3.43;-171.76;-41.90;-262.68;-35.64;23.14
524;1;0.250;0.850;-3.412;7.71;-0.90;87.23;4.54;12.44;178.48;103.37;-51.88;86.50;130.25
;;;;;-0.40;-5.81;-86.36;0.86;4.22;-179.02;-34.48;-252.16;14.77;25.45
525;1;0.250;0.950;-3.435;6.73;-0.61;85.11;4.01;11.18;175.40;90.52;-50.05;83.22;118.50
;;;;;0.38;-5.20;-87.80;0.66;3.37;-175.33;-29.06;-241.64;11.41;24.56
526;1;0.250;1.050;-3.459;5.84;-0.42;82.93;3.49;10.26;178.89;76.68;-50.55;82.06;108.02
;;;;;0.39;-4.58;-88.21;0.54;2.62;-179.19;-25.14;-231.16;10.44;24.31
527;1;0.250;1.150;-3.482;5.12;-0.31;87.14;3.09;9.55;178.05;63.97;-49.33;79.96;98.60
;;;;;0.40;-4.05;-89.20;0.45;2.00;-179.89;-23.12;-220.32;-88.52;24.58
528;1;0.250;1.250;-3.505;4.42;-0.22;86.45;2.71;7.86;176.87;59.62;-47.66;78.46;90.49
;;;;;0.39;-3.48;-89.37;0.41;1.48;-178.97;-28.52;-209.50;-65.33;24.50
529;1;0.250;1.350;-3.529;3.95;-0.19;86.21;2.51;6.39;176.67;70.00;-45.88;77.01;83.17
;;;;;0.62;-3.08;-88.37;0.41;1.35;-174.40;-32.67;-199.00;-43.77;24.41
530;1;0.250;1.450;-3.552;3.50;-0.19;83.38;2.35;6.11;179.99;77.79;-43.64;75.55;88.47
;;;;;0.57;-2.66;-82.76;0.38;1.22;-179.15;-35.29;-189.00;-35.37;24.09
531;1;0.250;1.550;-3.576;3.01;-0.17;85.72;2.15;5.70;179.86;83.01;-40.91;73.86;97.22
;;;;;0.51;-2.24;-65.25;0.34;1.08;-178.54;-36.62;-179.62;-32.10;23.47
532;1;0.250;1.650;-3.599;2.55;-0.16;71.95;1.96;5.45;178.38;86.43;-44.58;71.96;105.60
;;;;;0.44;-1.86;-40.98;0.31;0.96;-178.53;-37.20;-171.40;-30.69;27.15
533;1;0.250;1.750;-3.623;2.23;0.15;70.95;1.86;4.45;178.60;88.43;-41.64;69.84;113.44
;;;;;0.40;-1.58;-41.40;0.29;0.94;-179.42;-36.83;-164.71;-30.16;26.98
534;1;0.250;1.850;-3.646;2.15;0.17;70.27;1.76;4.84;179.15;89.49;-38.82;67.43;120.57
;;;;;0.36;-1.60;-44.91;0.28;1.13;-179.21;-35.12;-161.37;-30.17;26.39
535;1;0.250;1.950;-3.670;2.32;0.20;69.79;1.74;6.14;179.45;92.85;-36.18;64.72;126.76
;;;;;0.36;-1.92;-47.99;0.26;1.32;-177.16;-31.90;-173.40;-30.50;25.76
536;1;0.350;0.050;-3.249;15.83;-3.27;89.18;10.43;102.33;169.66;100.60;-74.35;81.41;168.36
;;;;;-8.66;-16.44;-89.94;2.13;12.23;-174.41;-115.93;-324.29;-65.45;35.92
537;1;0.350;0.150;-3.272;19.38;-3.39;89.00;14.13;40.40;179.36;113.05;-50.19;87.06;181.97
;;;;;-7.38;-16.55;-89.74;3.12;9.08;-179.68;-112.54;-322.23;-89.39;31.02
538;1;0.350;0.250;-3.295;17.65;-3.16;89.61;12.17;32.44;172.72;116.34;-32.10;89.37;190.59
;;;;;-5.53;-11.54;-89.45;2.24;7.37;-175.18;-108.34;-311.69;-79.83;15.15
539;1;0.350;0.350;-3.317;14.86;-2.71;89.39;9.48;22.63;175.74;104.88;-36.44;81.03;186.40
;;;;;-3.93;-7.83;-88.53;2.04;6.98;-179.76;-87.25;-300.60;-55.41;22.32
540;1;0.350;0.450;-3.340;12.55;-2.18;89.85;7.44;16.36;177.78;111.15;-38.93;78.97;176.17
;;;;;-2.74;-7.01;-88.42;1.61;4.10;-173.21;-69.85;-289.77;-73.90;18.62
541;1;0.350;0.550;-3.363;10.75;-1.67;87.99;6.03;12.91;170.99;119.75;-40.56;76.70;163.65
;;;;;-1.86;-6.44;-89.07;1.24;3.31;-170.93;-55.02;-279.56;-13.23;21.16
542;1;0.350;0.650;-3.386;9.33;-1.32;89.35;5.05;10.62;178.96;121.17;-41.67;76.48;150.56
;;;;;-1.21;-5.96;-89.51;1.05;3.01;-179.66;-43.64;-270.02;-13.50;32.66
543;1;0.350;0.750;-3.409;8.15;-0.92;88.99;4.32;8.90;178.72;117.21;-40.26;77.56;137.84
;;;;;-0.75;-5.50;-88.57;0.86;2.37;-176.89;-39.21;-260.93;-43.78;31.23
544;1;0.350;0.850;-3.431;7.20;0.67;89.95;3.82;8.25;174.67;109.52;-39.27;89.12;126.07
;;;;;-0.46;-5.05;-89.45;0.71;1.82;-179.52;-40.74;-252.08;-42.17;27.36
545;1;0.350;0.950;-3.454;6.32;0.59;88.99;3.35;7.54;179.87;99.65;-44.15;84.48;115.55
;;;;;-0.30;-4.58;-88.99;0.50;1.35;-168.27;-33.24;-243.48;1.44;22.10
546;1;0.350;1.050;-3.477;5.58;0.49;89.60;2.98;7.26;175.58;89.26;46.44;82.35;106.10
;;;;;0.26;-4.15;-89.76;0.43;1.08;-175.97;-31.79;-234.57;-89.44;20.03
547;1;0.350;1.150;-3.500;4.77;0.39;88.94;2.59;6.27;178.46;80.89;47.43;80.78;97.92
;;;;;0.27;-3.61;47.01;0.36;0.92;-177.07;-29.57;-225.41;-75.47;21.03
548;1;0.350;1.250;-3.523;4.21;0.31;88.16;2.38;5.03;175.59;78.62;-43.60;79.43;90.68
;;;;;0.43;-3.21;48.49;0.33;1.15;-178.68;-35.29;-216.65;-57.29;24.66
549;1;0.350;1.350;-3.545;3.72;0.25;87.14;2.24;4.73;175.25;81.75;-42.85;78.15;84.17
;;;;;0.55;-2.84;-88.85;0.37;1.02;-177.75;-39.93;-208.27;-45.06;24.91
550;1;0.350;1.450;-3.568;3.30;0.19;77.12;2.13;4.81;173.82;86.87;-41.69;76.84;92.17
;;;;;0.52;-2.51;-67.67;0.36;0.95;-179.70;-43.43;-200.02;-38.90;24.98
551;1;0.350;1.550;-3.591;2.82;-0.20;73.59;1.98;4.97;174.40;92.45;-40.07;75.44;102.84
;;;;;0.46;-2.14;-31.38;0.33;0.89;-179.88;-45.72;-192.23;-35.81;24.80
552;1;0.350;1.650;-3.614;2.40;-0.21;72.40;1.86;4.92;178.77;97.97;-45.31;73.94;112.82
;;;;;0.40;-1.81;-34.24;0.30;0.84;-171.93;-47.22;-185.18;-34.14;29.97
553;1;0.350;1.750;-3.637;2.05;-0.21;71.47;1.76;4.43;179.86;102.95;-43.46;72.22;121.58
;;;;;0.35;-1.53;-36.55;0.29;0.92;-179.92;-47.59;-179.02;-33.36;29.83
554;1;0.350;1.850;-3.660;1.97;-0.20;70.90;1.66;4.45;177.66;107.15;-41.57;70.24;129.00
;;;;;0.31;-1.61;-38.40;0.27;1.09;-179.82;-46.62;-173.79;-33.12;29.48
555;1;0.350;1.950;-3.682;2.17;-0.20;70.58;1.63;5.90;178.33;110.47;-39.72;67.98;134.85
;;;;;0.30;-2.03;-39.64;0.25;1.25;-178.78;-44.21;-172.96;-33.22;28.98
556;1;0.450;0.050;-3.274;11.68;-2.03;89.60;8.50;87.96;176.85;105.68;-66.93;50.44;169.66
;;;;;-4.44;-12.53;-89.14;0.94;5.69;-175.80;-89.70;-301.40;-89.81;39.50
557;1;0.450;0.150;-3.296;15.12;-2.07;87.90;11.46;28.15;176.65;110.38;-38.84;82.26;165.80
