Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
557;1;0.450;0.150;-3.296;6.30;15.11;2.49;22.64;21.61;88.88;33.99;86.91
;;;;;-12.80;-9.11;-1.58;-22.61;-12.61;-125.23;-284.40;-81.69
558;1;0.450;0.250;-3.318;5.64;14.16;1.92;12.06;15.24;82.79;65.25;93.28
;;;;;-8.92;-7.65;-1.07;-15.31;-18.49;-94.23;-276.01;-62.96
559;1;0.450;0.350;-3.340;4.59;12.41;1.49;5.40;11.72;68.77;88.41;92.52
;;;;;-5.45;-6.58;-0.77;-8.70;-14.43;-71.78;-265.08;-44.64
560;1;0.450;0.450;-3.362;3.54;10.81;1.17;2.36;8.39;51.07;103.79;87.62
;;;;;-3.69;-5.89;-0.51;-6.04;-9.62;-56.16;-254.36;-29.47
561;1;0.450;0.550;-3.385;2.64;9.50;0.93;3.47;5.85;56.19;112.55;82.42
;;;;;-2.63;-5.42;-0.44;-6.11;-6.01;-45.17;-244.75;-21.09
562;1;0.450;0.650;-3.407;1.95;8.40;0.81;4.61;4.03;61.22;115.96;77.46
;;;;;-1.80;-5.08;-0.40;-6.00;-4.25;-38.08;-238.56;-14.58
563;1;0.450;0.750;-3.429;1.46;7.48;0.68;4.77;2.78;62.66;115.09;72.47
;;;;;-1.27;-4.76;-0.40;-5.70;-3.13;-49.61;-232.87;-9.60
564;1;0.450;0.850;-3.451;1.13;6.63;0.55;4.51;2.03;61.30;111.08;67.96
;;;;;-0.92;-4.43;-0.42;-5.28;-2.58;-59.89;-226.97;-6.76
565;1;0.450;0.950;-3.473;0.92;5.86;0.53;4.17;1.79;57.40;104.65;64.00
;;;;;-0.69;-4.11;-0.45;-5.14;-2.48;-68.83;-220.44;-5.37
566;1;0.450;1.050;-3.495;0.78;5.00;0.62;3.70;1.03;61.95;96.41;61.24
;;;;;-0.52;-3.66;-0.48;-4.55;-2.41;-76.71;-212.87;-7.25
567;1;0.450;1.150;-3.518;0.75;4.34;0.72;3.26;1.75;66.64;87.60;58.94
;;;;;-0.43;-3.30;-0.53;-3.76;-3.13;-85.01;-205.55;-13.67
568;1;0.450;1.250;-3.540;0.77;3.71;0.81;2.79;2.11;70.95;78.51;57.53
;;;;;-0.37;-2.93;-0.59;-3.50;-3.60;-93.91;-197.62;-20.89
569;1;0.450;1.350;-3.562;0.80;3.17;0.89;2.21;2.84;74.70;69.59;56.61
;;;;;-0.36;-2.58;-0.66;-3.19;-4.44;-103.11;-189.20;-28.04
570;1;0.450;1.450;-3.584;0.81;2.72;0.96;1.78;3.25;77.85;61.74;56.16
;;;;;-0.57;-2.28;-0.73;-3.02;-4.88;-112.55;-180.47;-35.05
571;1;0.450;1.550;-3.606;0.99;2.24;0.98;1.78;3.57;80.24;70.66;56.24
;;;;;-0.76;-1.96;-0.78;-3.16;-5.05;-121.49;-171.16;-41.79
572;1;0.450;1.650;-3.629;1.23;1.79;0.98;1.86;3.35;81.82;77.52;60.76
;;;;;-0.94;-1.63;-0.81;-3.20;-4.72;-129.04;-161.38;-48.01
573;1;0.450;1.750;-3.651;1.47;1.42;0.97;2.52;2.91;82.37;82.32;69.75
;;;;;-1.11;-1.35;-0.83;-3.08;-4.23;-133.94;-151.39;-53.67
574;1;0.450;1.850;-3.673;1.69;1.09;0.93;3.42;2.47;81.79;85.11;79.28
;;;;;-1.24;-1.63;-0.81;-2.81;-3.83;-135.17;-141.27;-58.83
575;1;0.450;1.950;-3.695;1.88;0.82;0.88;4.32;2.19;80.32;85.83;89.18
;;;;;-1.35;-2.04;-0.78;-2.36;-3.68;-131.93;-131.14;-63.55
576;1;0.550;0.050;-3.298;3.65;9.28;2.72;51.83;52.10;92.11;21.16;69.30
;;;;;-9.40;-6.71;-2.15;-34.98;-15.58;-143.46;-263.39;-108.21
577;1;0.550;0.150;-3.320;4.58;12.32;1.87;18.06;11.89;84.18;34.10;80.29
;;;;;-9.86;-6.91;-1.60;-15.96;-6.86;-109.12;-252.55;-79.56
578;1;0.550;0.250;-3.341;3.78;11.74;1.36;11.12;9.68;74.35;64.59;83.65
;;;;;-6.74;-6.13;-1.07;-15.22;-11.05;-81.08;-251.89;-62.18
579;1;0.550;0.350;-3.363;2.90;10.57;1.04;5.49;7.72;58.67;86.80;82.44
;;;;;-3.93;-5.45;-0.72;-8.46;-8.46;-60.12;-247.86;-46.99
580;1;0.550;0.450;-3.385;2.17;9.44;0.80;2.39;5.80;49.00;101.76;78.36
;;;;;-2.61;-5.00;-0.44;-4.12;-5.47;-45.48;-242.29;-33.87
581;1;0.550;0.550;-3.406;1.60;8.40;0.70;0.99;4.22;56.55;110.48;72.92
;;;;;-1.93;-4.67;-0.23;-2.92;-3.49;-35.46;-236.12;-23.26
582;1;0.550;0.650;-3.428;1.19;7.56;0.61;1.65;2.99;59.69;114.37;68.16
;;;;;-1.38;-4.43;-0.20;-3.31;-2.70;-45.56;-230.24;-18.93
583;1;0.550;0.750;-3.449;0.92;6.76;0.51;2.22;2.06;59.57;114.44;63.83
;;;;;-1.01;-4.18;-0.21;-3.32;-2.70;-55.52;-226.58;-14.77
584;1;0.550;0.850;-3.471;0.78;6.06;0.42;2.38;1.56;64.10;111.48;60.20
;;;;;-0.76;-3.95;-0.25;-3.40;-2.66;-64.68;-222.25;-11.31
585;1;0.550;0.950;-3.492;0.70;5.23;0.39;2.34;0.98;69.75;106.01;57.53
;;;;;-0.57;-3.59;-0.28;-3.07;-2.29;-73.10;-216.64;-8.96
586;1;0.550;1.050;-3.514;0.65;4.59;0.49;2.16;2.02;74.75;99.34;55.25
;;;;;-0.49;-3.31;-0.34;-2.52;-3.20;-81.89;-211.30;-9.48
587;1;0.550;1.150;-3.535;0.70;3.96;0.59;2.07;2.47;79.40;91.82;53.77
;;;;;-0.44;-2.99;-0.41;-2.48;-4.37;-91.37;-205.30;-15.62
588;1;0.550;1.250;-3.557;0.77;3.37;0.67;1.89;2.91;83.34;83.80;52.80
;;;;;-0.41;-2.67;-0.48;-2.48;-5.22;-101.14;-198.54;-22.72
589;1;0.550;1.350;-3.579;0.84;2.85;0.75;1.65;3.36;86.59;75.81;52.18
;;;;;-0.39;-2.36;-0.57;-2.51;-5.55;-110.97;-191.31;-29.81
590;1;0.550;1.450;-3.600;0.89;2.39;0.81;1.49;3.47;88.99;68.14;51.85
;;;;;-0.54;-2.08;-0.65;-2.54;-5.51;-120.34;-183.60;-36.74
591;1;0.550;1.550;-3.622;0.91;1.95;0.83;1.51;3.43;90.41;71.50;51.78
;;;;;-0.74;-1.79;-0.71;-2.73;-5.26;-128.66;-175.40;-43.32
592;1;0.550;1.650;-3.643;1.07;1.52;0.83;1.56;3.16;90.71;81.35;51.99
;;;;;-0.92;-1.49;-0.75;-2.90;-4.79;-134.82;-166.65;-49.37
593;1;0.550;1.750;-3.665;1.29;1.14;0.82;2.13;2.80;89.96;89.51;58.21
;;;;;-1.07;-1.43;-0.77;-2.83;-4.35;-137.92;-157.60;-54.81
594;1;0.550;1.850;-3.686;1.49;0.83;0.78;2.93;2.56;88.31;95.97;67.16
;;;;;-1.20;-1.81;-0.76;-2.60;-4.10;-137.19;-148.38;-59.72
595;1;0.550;1.950;-3.708;1.70;0.56;0.74;3.76;2.43;86.14;100.71;76.74
;;;;;-1.34;-2.23;-0.74;-2.24;-4.01;-131.87;-139.08;-64.18
596;1;0.650;0.050;-3.323;2.82;7.66;2.16;42.56;41.72;89.06;25.29;69.76
;;;;;-7.31;-4.96;-2.38;-26.21;-15.30;-126.20;-251.70;-107.96
597;1;0.650;0.150;-3.344;3.34;10.34;1.46;14.75;7.55;76.85;29.67;75.13
;;;;;-7.56;-5.32;-1.73;-15.28;-3.71;-95.15;-229.19;-80.44
598;1;0.650;0.250;-3.365;2.51;9.94;0.97;9.85;6.34;64.47;60.70;75.42
;;;;;-4.98;-4.93;-1.12;-14.28;-6.19;-69.96;-227.20;-63.28
599;1;0.650;0.350;-3.386;1.79;9.12;0.78;5.33;5.13;47.97;82.78;73.14
;;;;;-2.84;-4.55;-0.75;-8.58;-4.27;-51.08;-228.78;-49.05
600;1;0.650;0.450;-3.407;1.28;8.29;0.65;2.55;3.97;50.27;97.62;69.24
;;;;;-1.80;-4.31;-0.48;-4.34;-2.66;-37.94;-227.73;-38.43
601;1;0.650;0.550;-3.428;0.93;7.51;0.56;1.14;2.97;56.07;106.43;64.55
;;;;;-1.38;-4.10;-0.29;-2.15;-2.39;-42.73;-224.99;-31.64
602;1;0.650;0.650;-3.449;0.80;6.79;0.48;0.48;2.15;59.94;110.80;59.83
;;;;;-1.07;-3.92;-0.13;-1.68;-2.65;-51.87;-221.50;-25.89
603;1;0.650;0.750;-3.470;0.78;6.15;0.42;0.79;1.56;68.28;111.49;56.02
;;;;;-0.84;-3.76;-0.09;-1.88;-2.65;-60.79;-218.06;-21.84
604;1;0.650;0.850;-3.490;0.70;5.36;0.37;1.05;0.96;74.86;109.05;53.00
;;;;;-0.65;-3.47;-0.13;-1.80;-2.12;-69.25;-214.68;-17.61
605;1;0.650;0.950;-3.511;0.66;4.76;0.41;1.20;2.01;80.62;104.87;50.53
;;;;;-0.55;-3.26;-0.18;-1.53;-3.23;-78.05;-211.38;-13.40
606;1;0.650;1.050;-3.532;0.61;4.12;0.44;1.31;2.56;85.80;99.16;48.99
;;;;;-0.48;-2.98;-0.24;-1.61;-4.73;-87.44;-207.10;-10.48
607;1;0.650;1.150;-3.553;0.68;3.54;0.47;1.33;2.76;90.25;92.52;47.79
;;;;;-0.46;-2.71;-0.31;-1.72;-5.69;-97.25;-202.05;-15.46
608;1;0.650;1.250;-3.574;0.78;2.98;0.54;1.33;3.31;93.77;85.35;47.08
;;;;;-0.45;-2.41;-0.39;-1.88;-6.06;-107.16;-196.30;-22.39
609;1;0.650;1.350;-3.595;0.88;2.49;0.61;1.16;3.43;96.35;78.13;46.62
;;;;;-0.45;-2.13;-0.48;-2.03;-5.97;-116.78;-190.07;-29.36
610;1;0.650;1.450;-3.616;0.95;2.04;0.66;1.13;3.38;97.83;71.14;46.29
;;;;;-0.55;-1.87;-0.56;-2.22;-5.65;-125.50;-183.37;-36.12
611;1;0.650;1.550;-3.637;0.99;1.62;0.69;1.15;3.20;98.20;71.36;46.15
;;;;;-0.74;-1.61;-0.62;-2.42;-5.24;-132.58;-176.12;-42.54
612;1;0.650;1.650;-3.658;0.98;1.22;0.68;1.19;2.97;97.45;83.57;46.20
;;;;;-0.90;-1.35;-0.66;-2.57;-4.82;-137.18;-168.37;-48.46
613;1;0.650;1.750;-3.679;1.14;0.87;0.67;1.66;2.80;95.75;94.35;46.32
;;;;;-1.06;-1.59;-0.68;-2.56;-4.52;-138.53;-160.26;-53.80
614;1;0.650;1.850;-3.700;1.34;0.56;0.64;2.39;2.69;93.47;103.77;53.36
;;;;;-1.20;-1.98;-0.69;-2.37;-4.35;-136.06;-151.92;-58.60
615;1;0.650;1.950;-3.721;1.56;0.39;0.60;3.23;2.48;90.76;111.73;63.01
;;;;;-1.35;-2.39;-0.68;-2.16;-4.11;-128.69;-143.41;-62.91
616;1;0.750;0.050;-3.348;2.69;6.50;1.68;32.68;34.11;83.39;26.99;70.45
;;;;;-5.83;-4.25;-2.55;-19.04;-13.53;-111.34;-241.00;-105.06
617;1;0.750;0.150;-3.368;2.44;8.78;1.12;14.65;5.50;68.08;21.83;70.79
;;;;;-5.78;-4.30;-1.81;-14.61;-2.59;-82.99;-220.57;-85.15
618;1;0.750;0.250;-3.388;1.66;8.53;0.83;10.03;4.43;54.06;54.04;68.21
;;;;;-3.65;-4.01;-1.19;-12.74;-2.67;-60.55;-202.73;-69.34
619;1;0.750;0.350;-3.409;1.08;7.92;0.69;5.53;3.43;41.48;76.51;64.67
;;;;;-2.02;-3.86;-0.82;-7.91;-1.73;-43.95;-208.88;-56.21
620;1;0.750;0.450;-3.429;0.73;7.34;0.58;2.69;2.70;50.99;91.58;60.53
;;;;;-1.25;-3.75;-0.56;-4.56;-2.03;-41.25;-211.69;-46.12
621;1;0.750;0.550;-3.449;0.62;6.68;0.49;1.25;2.04;58.63;100.72;56.25
;;;;;-1.03;-3.62;-0.38;-2.35;-2.39;-48.84;-212.15;-39.64
622;1;0.750;0.650;-3.470;0.73;6.11;0.45;0.62;1.57;68.79;105.47;52.05
;;;;;-0.84;-3.52;-0.22;-1.28;-2.58;-56.74;-211.12;-34.04
623;1;0.750;0.750;-3.490;0.72;5.42;0.40;0.27;0.97;76.87;106.60;48.56
;;;;;-0.69;-3.32;-0.09;-1.21;-1.91;-64.94;-208.29;-29.20
624;1;0.750;0.850;-3.510;0.64;4.85;0.43;0.32;1.85;83.73;105.13;45.95
;;;;;-0.60;-3.16;-0.07;-1.27;-3.30;-73.37;-206.32;-25.18
625;1;0.750;0.950;-3.530;0.58;4.24;0.49;0.58;2.45;89.86;101.66;43.87
;;;;;-0.54;-2.93;-0.10;-1.34;-4.88;-82.42;-204.10;-21.18
626;1;0.750;1.050;-3.551;0.57;3.65;0.54;0.77;2.73;94.99;96.60;42.28
;;;;;-0.50;-2.69;-0.16;-1.38;-5.96;-91.83;-200.77;-16.94
627;1;0.750;1.150;-3.571;0.68;3.10;0.58;0.82;3.12;99.16;90.66;41.17
;;;;;-0.49;-2.43;-0.23;-1.34;-6.38;-101.53;-196.65;-13.53
628;1;0.750;1.250;-3.591;0.80;2.59;0.60;0.91;3.36;102.15;84.17;40.53
;;;;;-0.49;-2.17;-0.30;-1.52;-6.32;-111.11;-191.80;-20.26
629;1;0.750;1.350;-3.612;0.90;2.10;0.60;0.85;3.31;104.03;77.52;40.16
;;;;;-0.49;-1.91;-0.38;-1.76;-5.96;-120.07;-186.31;-27.07
630;1;0.750;1.450;-3.632;0.99;1.68;0.58;0.75;3.19;104.69;71.08;39.83
;;;;;-0.57;-1.67;-0.46;-1.92;-5.60;-127.83;-180.47;-33.66
631;1;0.750;1.550;-3.652;1.05;1.29;0.54;0.74;3.00;104.08;70.01;39.74
;;;;;-0.75;-1.44;-0.52;-2.12;-5.18;-133.62;-174.17;-39.96
632;1;0.750;1.650;-3.673;1.05;0.92;0.54;0.84;2.86;102.33;83.93;39.90
;;;;;-0.91;-1.37;-0.57;-2.24;-4.85;-136.62;-167.33;-45.84
633;1;0.750;1.750;-3.693;1.02;0.60;0.53;1.22;2.80;99.97;96.91;40.07
;;;;;-1.06;-1.75;-0.60;-2.24;-4.64;-136.62;-160.18;-51.13
634;1;0.750;1.850;-3.713;1.22;0.34;0.51;1.89;2.67;97.14;108.76;40.33
;;;;;-1.22;-2.13;-0.61;-2.21;-4.37;-132.54;-152.67;-55.86
635;1;0.750;1.950;-3.734;1.44;0.36;0.48;2.70;2.39;93.81;119.27;48.82
;;;;;-1.36;-2.53;-0.61;-2.12;-4.02;-122.88;-144.84;-60.42
636;1;0.850;0.050;-3.372;2.48;6.11;1.27;23.01;28.73;76.51;-30.19;70.90
;;;;;-4.90;-3.65;-2.60;-13.00;-11.79;-98.19;-231.39;-106.09
637;1;0.850;0.150;-3.392;1.82;7.48;0.94;13.42;4.14;58.91;17.83;66.70
;;;;;-4.41;-3.65;-1.86;-13.61;-2.16;-72.32;-212.77;-88.44
638;1;0.850;0.250;-3.412;1.09;7.32;0.76;9.17;3.17;43.88;45.27;61.60
;;;;;-2.66;-3.32;-1.27;-11.02;-1.65;-52.56;-193.71;-74.02
639;1;0.850;0.350;-3.431;0.65;6.92;0.63;5.40;2.40;43.87;68.45;56.83
;;;;;-1.46;-3.31;-0.90;-7.03;-2.04;-41.22;-188.80;-62.06
640;1;0.850;0.450;-3.451;0.41;6.46;0.54;3.04;1.86;52.96;84.07;52.32
;;;;;-0.88;-3.28;-0.65;-4.40;-2.25;-47.22;-195.07;-52.67
641;1;0.850;0.550;-3.471;0.51;5.95;0.50;1.47;1.70;65.44;93.63;49.51
;;;;;-0.77;-3.23;-0.47;-2.49;-2.48;-53.35;-198.24;-46.57
642;1;0.850;0.650;-3.490;0.62;5.30;0.44;0.69;0.93;75.26;98.62;47.71
;;;;;-0.66;-3.07;-0.31;-1.36;-1.79;-60.38;-198.67;-41.63
643;1;0.850;0.750;-3.510;0.60;4.82;0.41;0.34;1.64;83.74;100.56;44.59
;;;;;-0.64;-2.98;-0.18;-0.97;-3.29;-68.27;-198.52;-37.13
644;1;0.850;0.850;-3.530;0.52;4.24;0.48;0.20;2.24;91.08;99.65;40.04
;;;;;-0.59;-2.81;-0.10;-1.13;-4.93;-76.64;-196.73;-32.94
645;1;0.850;0.950;-3.550;0.49;3.70;0.56;0.38;2.58;97.36;96.75;36.65
;;;;;-0.53;-2.62;-0.08;-1.28;-6.12;-85.51;-195.04;-29.55
646;1;0.850;1.050;-3.569;0.53;3.17;0.63;0.51;2.93;102.41;92.36;35.58
;;;;;-0.52;-2.41;-0.09;-1.42;-6.58;-94.67;-192.91;-26.04
647;1;0.850;1.150;-3.589;0.67;2.66;0.68;0.48;3.18;106.27;86.97;34.84
;;;;;-0.51;-2.18;-0.15;-1.45;-6.52;-104.00;-189.69;-22.36
648;1;0.850;1.250;-3.609;0.79;2.18;0.72;0.57;3.22;108.71;81.00;34.29
;;;;;-0.52;-1.94;-0.22;-1.38;-6.23;-112.89;-185.62;-18.36
649;1;0.850;1.350;-3.628;0.90;1.73;0.73;0.58;3.14;109.70;74.83;33.92
;;;;;-0.52;-1.70;-0.29;-1.53;-5.85;-120.77;-180.89;-23.35
650;1;0.850;1.450;-3.648;1.01;1.33;0.72;0.53;3.01;109.56;68.84;33.54
;;;;;-0.61;-1.49;-0.36;-1.72;-5.46;-127.36;-175.79;-29.80
651;1;0.850;1.550;-3.668;1.07;0.97;0.68;0.47;2.82;108.08;67.22;33.32
;;;;;-0.77;-1.28;-0.42;-1.88;-5.07;-131.73;-170.20;-36.02
652;1;0.850;1.650;-3.687;1.09;0.63;0.62;0.51;2.80;105.70;82.51;33.26
;;;;;-0.92;-1.50;-0.47;-1.97;-4.84;-133.49;-164.16;-41.84
653;1;0.850;1.750;-3.707;1.08;0.33;0.55;0.83;2.72;102.85;97.17;33.23
;;;;;-1.08;-1.87;-0.51;-1.99;-4.60;-132.21;-157.81;-47.19
654;1;0.850;1.850;-3.727;1.11;0.32;0.47;1.44;2.52;99.50;111.02;33.43
;;;;;-1.23;-2.26;-0.53;-2.02;-4.25;-126.46;-151.09;-52.35
655;1;0.850;1.950;-3.746;1.32;0.33;0.39;2.17;2.23;95.57;123.70;34.68
;;;;;-1.38;-2.64;-0.53;-2.03;-3.86;-114.63;-143.99;-57.04
656;1;0.950;0.050;-3.397;2.22;5.65;1.06;14.39;23.73;69.23;-38.23;70.73
;;;;;-4.29;-3.10;-2.55;-8.19;-10.69;-86.28;-222.70;-107.02
657;1;0.950;0.150;-3.416;1.52;6.34;0.88;11.69;4.06;50.03;19.32;62.54
;;;;;-3.53;-3.05;-1.87;-12.31;-2.66;-62.89;-205.81;-90.53
658;1;0.950;0.250;-3.435;0.72;6.29;0.72;7.94;3.00;36.41;35.13;55.31
;;;;;-1.97;-2.77;-1.33;-9.37;-2.45;-45.76;-188.94;-77.46
659;1;0.950;0.350;-3.454;0.41;6.00;0.62;4.95;2.33;46.08;59.19;49.45
;;;;;-1.09;-2.84;-0.97;-6.18;-2.39;-46.90;-172.04;-66.78
660;1;0.950;0.450;-3.473;0.28;5.67;0.56;3.03;2.11;58.33;75.39;48.66
;;;;;-0.65;-2.89;-0.74;-4.07;-2.50;-51.42;-178.08;-57.95
661;1;0.950;0.550;-3.492;0.38;5.10;0.51;1.82;0.86;70.28;85.39;48.46
;;;;;-0.58;-2.80;-0.55;-2.52;-1.82;-56.58;-183.03;-52.76
662;1;0.950;0.650;-3.511;0.46;4.67;0.48;1.19;1.42;80.52;91.20;46.11
;;;;;-0.59;-2.75;-0.41;-1.64;-3.17;-63.20;-186.41;-48.26
663;1;0.950;0.750;-3.530;0.43;4.18;0.46;0.79;1.97;89.52;93.64;42.68
;;;;;-0.59;-2.64;-0.28;-1.10;-4.85;-70.83;-187.71;-44.51
664;1;0.950;0.850;-3.550;0.36;3.68;0.54;0.44;2.33;97.08;93.24;37.75
;;;;;-0.56;-2.50;-0.18;-1.12;-6.11;-78.82;-187.28;-41.01
665;1;0.950;0.950;-3.569;0.38;3.18;0.63;0.26;2.71;103.31;90.80;31.65
;;;;;-0.53;-2.32;-0.12;-1.29;-6.62;-87.26;-185.57;-37.84
666;1;0.950;1.050;-3.588;0.50;2.69;0.72;0.25;2.95;108.18;86.85;28.64
;;;;;-0.53;-2.13;-0.11;-1.45;-6.59;-95.92;-183.74;-35.14
667;1;0.950;1.150;-3.607;0.64;2.22;0.78;0.22;3.08;111.43;81.92;28.00
;;;;;-0.54;-1.92;-0.09;-1.53;-6.38;-104.37;-181.38;-32.36
668;1;0.950;1.250;-3.626;0.76;1.78;0.82;0.27;3.05;113.32;76.39;27.52
;;;;;-0.54;-1.71;-0.15;-1.50;-6.05;-112.21;-178.15;-29.20
669;1;0.950;1.350;-3.645;0.88;1.36;0.84;0.35;2.98;113.63;70.62;27.22
;;;;;-0.55;-1.50;-0.21;-1.38;-5.67;-118.94;-174.19;-25.52
670;1;0.950;1.450;-3.664;0.99;1.00;0.84;0.33;2.82;112.69;65.01;26.87
;;;;;-0.67;-1.31;-0.28;-1.50;-5.29;-124.32;-169.81;-24.90
671;1;0.950;1.550;-3.683;1.06;0.66;0.82;0.33;2.73;110.56;62.99;26.67
;;;;;-0.81;-1.25;-0.33;-1.65;-4.99;-127.48;-164.91;-31.09
672;1;0.950;1.650;-3.702;1.11;0.35;0.78;0.36;2.71;107.84;79.32;26.52
;;;;;-0.96;-1.62;-0.38;-1.73;-4.76;-128.25;-159.63;-37.02
673;1;0.950;1.750;-3.721;1.13;0.28;0.73;0.46;2.55;104.61;95.34;26.59
;;;;;-1.11;-2.00;-0.42;-1.83;-4.43;-125.67;-153.99;-42.73
674;1;0.950;1.850;-3.740;1.10;0.29;0.67;0.99;2.31;100.74;110.76;26.77
;;;;;-1.25;-2.37;-0.45;-1.92;-4.03;-118.14;-147.93;-47.95
675;1;0.950;1.950;-3.759;1.20;0.30;0.59;1.65;2.05;96.37;125.32;27.09
;;;;;-1.39;-2.74;-0.45;-1.96;-3.64;-104.34;-141.48;-52.61
676;1;1.050;0.050;-3.422;1.99;5.12;0.98;8.05;19.38;62.05;-36.01;69.67
;;;;;-3.74;-2.60;-2.43;-5.36;-9.54;-75.33;-214.68;-106.80
677;1;1.050;0.150;-3.440;1.26;5.48;0.82;9.79;5.12;41.93;21.27;58.16
;;;;;-2.82;-2.51;-1.84;-10.74;-3.44;-54.54;-199.69;-91.58
678;1;1.050;0.250;-3.459;0.53;5.36;0.73;6.76;3.53;40.33;30.03;49.28
;;;;;-1.52;-2.31;-1.36;-8.10;-2.90;-48.35;-184.99;-79.92
679;1;1.050;0.350;-3.477;0.30;5.22;0.66;4.43;2.85;48.33;49.19;45.60
;;;;;-0.87;-2.47;-1.04;-5.45;-2.74;-50.73;-169.94;-70.22
680;1;1.050;0.450;-3.495;0.22;4.81;0.59;2.94;0.90;62.27;65.98;47.64
;;;;;-0.51;-2.47;-0.80;-3.68;-1.98;-54.20;-160.58;-62.69
681;1;1.050;0.550;-3.514;0.22;4.44;0.55;2.04;1.17;74.29;76.84;46.97
;;;;;-0.46;-2.48;-0.64;-2.47;-3.01;-58.95;-168.51;-57.80
682;1;1.050;0.650;-3.532;0.27;4.01;0.53;1.50;1.70;85.00;83.24;44.47
;;;;;-0.51;-2.41;-0.50;-1.76;-4.68;-65.29;-173.49;-54.23
683;1;1.050;0.750;-3.551;0.25;3.57;0.51;1.14;2.00;94.14;86.10;40.36
;;;;;-0.53;-2.32;-0.38;-1.31;-5.91;-72.29;-176.16;-51.13
684;1;1.050;0.850;-3.569;0.23;3.12;0.59;0.77;2.50;101.72;86.23;35.03
;;;;;-0.52;-2.20;-0.28;-1.08;-6.56;-79.72;-177.09;-48.47
685;1;1.050;0.950;-3.588;0.34;2.66;0.70;0.38;2.77;107.80;84.19;28.36
;;;;;-0.52;-2.04;-0.18;-1.32;-6.58;-87.56;-176.40;-46.08
686;1;1.050;1.050;-3.606;0.46;2.21;0.79;0.29;2.88;112.09;80.59;21.46
;;;;;-0.53;-1.86;-0.14;-1.47;-6.39;-95.20;-174.45;-43.88
687;1;1.050;1.150;-3.625;0.59;1.79;0.86;0.28;2.98;114.99;76.07;20.82
;;;;;-0.55;-1.68;-0.13;-1.59;-6.20;-102.67;-172.34;-41.98
688;1;1.050;1.250;-3.643;0.71;1.39;0.92;0.23;2.84;116.10;70.88;20.49
;;;;;-0.56;-1.50;-0.11;-1.59;-5.78;-109.31;-169.88;-39.61
689;1;1.050;1.350;-3.661;0.83;1.02;0.95;0.19;2.79;115.69;65.49;20.22
;;;;;-0.60;-1.32;-0.14;-1.53;-5.43;-114.92;-166.71;-36.76
690;1;1.050;1.450;-3.680;0.94;0.68;0.96;0.18;2.69;114.12;60.17;19.93
;;;;;-0.73;-1.14;-0.20;-1.34;-5.11;-119.14;-162.96;-33.34
691;1;1.050;1.550;-3.698;1.03;0.36;0.95;0.22;2.65;111.70;57.25;19.75
;;;;;-0.86;-1.37;-0.25;-1.38;-4.87;-121.41;-158.74;-28.85
692;1;1.050;1.650;-3.717;1.10;0.24;0.93;0.26;2.54;108.73;74.39;19.70
;;;;;-1.00;-1.74;-0.30;-1.52;-4.55;-121.19;-154.16;-31.76
693;1;1.050;1.750;-3.735;1.13;0.25;0.90;0.27;2.32;105.05;91.46;19.72
;;;;;-1.14;-2.11;-0.34;-1.68;-4.15;-117.13;-149.13;-37.49
694;1;1.050;1.850;-3.754;1.12;0.26;0.85;0.55;2.09;100.75;108.25;19.81
;;;;;-1.28;-2.47;-0.37;-1.79;-3.76;-107.97;-143.69;-42.72
695;1;1.050;1.950;-3.772;1.09;0.27;0.78;1.16;1.84;96.04;124.46;20.02
;;;;;-1.40;-2.83;-0.37;-1.87;-3.39;-99.68;-137.83;-47.38
696;1;1.150;0.050;-3.446;1.79;4.58;0.93;6.54;15.73;54.99;39.87;67.74
;;;;;-3.23;-2.17;-2.30;-3.32;-8.44;-65.23;-206.81;-105.49
697;1;1.150;0.150;-3.464;1.07;4.77;0.86;7.93;5.65;34.76;22.48;53.79
;;;;;-2.30;-2.06;-1.80;-8.92;-3.97;-51.53;-194.55;-91.86
698;1;1.150;0.250;-3.482;0.46;4.61;0.77;5.62;4.20;43.49;31.44;43.48
;;;;;-1.24;-1.97;-1.38;-6.66;-3.36;-51.59;-181.57;-81.22
699;1;1.150;0.350;-3.500;0.25;4.38;0.68;3.94;1.68;51.91;39.03;45.36
;;;;;-0.73;-2.08;-1.08;-4.73;-2.29;-53.04;-168.08;-73.08
700;1;1.150;0.450;-3.518;0.21;4.14;0.64;2.89;1.02;65.76;56.58;46.31
;;;;;-0.50;-2.17;-0.89;-3.39;-2.83;-56.10;-154.47;-66.21
701;1;1.150;0.550;-3.535;0.18;3.80;0.62;2.15;1.41;77.88;68.18;45.47
;;;;;-0.44;-2.17;-0.74;-2.39;-4.27;-60.65;-154.03;-62.12
702;1;1.150;0.650;-3.553;0.15;3.41;0.59;1.67;1.68;88.67;75.12;42.59
;;;;;-0.43;-2.12;-0.60;-1.77;-5.61;-66.37;-160.51;-59.25
703;1;1.150;0.750;-3.571;0.15;3.01;0.57;1.30;2.25;97.72;78.43;37.92
;;;;;-0.45;-2.03;-0.48;-1.35;-6.32;-72.65;-164.49;-56.92
704;1;1.150;0.850;-3.589;0.19;2.59;0.63;0.93;2.57;105.11;78.97;32.09
;;;;;-0.48;-1.92;-0.37;-1.05;-6.48;-79.38;-166.50;-55.06
